file	author	licence	source
harris/harris_09.jpg	Ceescamel	CC0	https://commons.wikimedia.org/wiki/File:2024_Eerste_Bloemdwarsstraat,_Asd-gevelsteen_en_Kamala_Harris.jpg
harris/harris_10.jpg	Arlington National Cemetery	Public domain	https://commons.wikimedia.org/wiki/File:President_Joseph_R._Biden,_Jr._and_Vice_President_Kamala_Harris_participated_in_a_Presidential_Armed_Forces_Full_Honors_Wreath-Laying_Ceremony_at_the_Tomb_of_the_Unknown_Soldier_at_Arlington_National_Cemetery_(50857645861).jpg
harris/harris_11.jpg	Arlington National Cemetery	Public domain	https://commons.wikimedia.org/wiki/File:President_Joseph_R._Biden,_Jr._and_Vice_President_Kamala_Harris_participated_in_a_Presidential_Armed_Forces_Full_Honors_Wreath-Laying_Ceremony_at_the_Tomb_of_the_Unknown_Soldier_at_Arlington_National_Cemetery_(50856928643).jpg
harris/harris_12.jpg	Arlington National Cemetery	Public domain	https://commons.wikimedia.org/wiki/File:President_Joseph_R._Biden,_Jr._and_Vice_President_Kamala_Harris_participated_in_a_Presidential_Armed_Forces_Full_Honors_Wreath-Laying_Ceremony_at_the_Tomb_of_the_Unknown_Soldier_at_Arlington_National_Cemetery_(50857743892).jpg
harris/harris_13.jpg	Arlington National Cemetery	Public domain	https://commons.wikimedia.org/wiki/File:President_Joseph_R._Biden,_Jr._and_Vice_President_Kamala_Harris_participated_in_a_Presidential_Armed_Forces_Full_Honors_Wreath-Laying_Ceremony_at_the_Tomb_of_the_Unknown_Soldier_at_Arlington_National_Cemetery_(50859748676).jpg
marin/marin_00.jpg	Laura Kotila / Prime Minister's Office Finland	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Sanna_Marin_Government_10_December_2019.jpg
marin/marin_01.jpg	Laura Kotila / Prime Minister's Office Finland	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Sanna_Marin_Government_10_December_2019_2.jpg
marin/marin_02.jpg	FinnishGovernment	CC BY 2.0	https://commons.wikimedia.org/wiki/File:P%C3%A4%C3%A4ministeri_Sanna_Marin_ja_ty%C3%B6ministeri_Tuula_Haatainen_median_tavattavissa_24.3.2020_(49695042692).jpg
marin/marin_03.jpg	FinnishGovernment	CC BY 2.0	https://commons.wikimedia.org/wiki/File:P%C3%A4%C3%A4ministeri_Sanna_Marin_ja_ty%C3%B6ministeri_Tuula_Haatainen_median_tavattavissa_24.3.2020_(49694199623).jpg
marin/marin_04.jpg	FinnishGovernment	CC BY 2.0	https://commons.wikimedia.org/wiki/File:P%C3%A4%C3%A4ministeri_Sanna_Marin_ja_ty%C3%B6ministeri_Tuula_Haatainen_median_tavattavissa_24.3.2020_(49694741551).jpg
marin/marin_05.jpg	FinnishGovernment	CC BY 2.0	https://commons.wikimedia.org/wiki/File:P%C3%A4%C3%A4ministeri_Sanna_Marin_ja_ty%C3%B6ministeri_Tuula_Haatainen_median_tavattavissa_24.3.2020_(49694200303).jpg
marin/marin_06.jpg	FinnishGovernment	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Prime_Minister_Sanna_Marin_(49197798371).jpg
marin/marin_07.jpg	FinnishGovernment	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Prime_Minister_Sanna_Marin_(49197217378).jpg
marin/marin_08.jpg	FinnishGovernment	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Prime_Minister_Sanna_Marin_(49197203773).jpg
marin/marin_09.jpg	FinnishGovernment	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Prime_Minister_Sanna_Marin_(49197683081).jpg
marin/marin_10.jpg	FinnishGovernment	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Prime_Minister_Sanna_Marin_(49197192063).jpg
marin/marin_11.jpg	FinnishGovernment	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Prime_Minister_Sanna_Marin_(49197653401).jpg
marin/marin_12.jpg	FinnishGovernment	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Prime_Minister_Sanna_Marin_(49197651261).jpg
marin/marin_13.jpg	FinnishGovernment	CC BY 2.0	https://commons.wikimedia.org/wiki/File:P%C3%A4%C3%A4ministeri_Sanna_Marin_ja_arkkipiispa_Tapio_Luoma_tapasivat_Valtioneuvoston_linnassa_28.1.2021_(50883223863).jpg
